t_s,measured_voltage_A,measured_voltage_B,measured_voltage_C,tap_A,tap_B,tap_C
0,2373.22694521449-149.781736267368i,-1316.32826123773-1980.3839553678i,-1056.89868397676+2130.16569163517i,9,9,9
1,2373.22694521449-149.781736267368i,-1316.32826123773-1980.3839553678i,-1056.89868397676+2130.16569163517i,9,9,9
2,2373.22694521449-149.781736267368i,-1316.32826123773-1980.3839553678i,-1056.89868397676+2130.16569163517i,9,9,9
3,2373.22694521449-149.781736267368i,-1316.32826123773-1980.3839553678i,-1056.89868397676+2130.16569163517i,9,9,9
4,2373.22694521449-149.781736267368i,-1316.32826123773-1980.3839553678i,-1056.89868397676+2130.16569163517i,9,9,9
5,2373.22694521449-149.781736267368i,-1316.32826123773-1980.3839553678i,-1056.89868397676+2130.16569163517i,9,9,9
6,2373.22694521449-149.781736267368i,-1316.32826123773-1980.3839553678i,-1056.89868397676+2130.16569163517i,9,9,9
7,2373.22694521449-149.781736267368i,-1316.32826123773-1980.3839553678i,-1056.89868397676+2130.16569163517i,9,9,9
8,2373.22694521449-149.781736267368i,-1316.32826123773-1980.3839553678i,-1056.89868397676+2130.16569163517i,9,9,9
9,2373.22694521449-149.781736267368i,-1316.32826123773-1980.3839553678i,-1056.89868397676+2130.16569163517i,9,9,9
10,2373.22694521449-149.781736267368i,-1316.32826123773-1980.3839553678i,-1056.89868397676+2130.16569163517i,9,9,9
11,2373.22694521449-149.781736267368i,-1316.32826123773-1980.3839553678i,-1056.89868397676+2130.16569163517i,9,9,9
12,2373.22694521449-149.781736267368i,-1316.32826123773-1980.3839553678i,-1056.89868397676+2130.16569163517i,9,9,9
13,2373.22694521449-149.781736267368i,-1316.32826123773-1980.3839553678i,-1056.89868397676+2130.16569163517i,9,9,9
14,2373.22694521449-149.781736267368i,-1316.32826123773-1980.3839553678i,-1056.89868397676+2130.16569163517i,9,9,9
15,2373.22694521449-149.781736267368i,-1316.32826123773-1980.3839553678i,-1056.89868397676+2130.16569163517i,9,9,9
16,2373.22694521449-149.781736267368i,-1316.32826123773-1980.3839553678i,-1056.89868397676+2130.16569163517i,9,9,9
17,2373.22694521449-149.781736267368i,-1316.32826123773-1980.3839553678i,-1056.89868397676+2130.16569163517i,9,9,9
18,2373.22694521449-149.781736267368i,-1316.32826123773-1980.3839553678i,-1056.89868397676+2130.16569163517i,9,9,9
19,2373.22694521449-149.781736267368i,-1316.32826123773-1980.3839553678i,-1056.89868397676+2130.16569163517i,9,9,9
20,2373.22694521449-149.781736267368i,-1316.32826123773-1980.3839553678i,-1056.89868397676+2130.16569163517i,9,9,9
21,2373.22694521449-149.781736267368i,-1316.32826123773-1980.3839553678i,-1056.89868397676+2130.16569163517i,9,9,9
22,2373.22694521449-149.781736267368i,-1316.32826123773-1980.3839553678i,-1056.89868397676+2130.16569163517i,9,9,9
23,2373.22694521449-149.781736267368i,-1316.32826123773-1980.3839553678i,-1056.89868397676+2130.16569163517i,9,9,9
24,2373.22694521449-149.781736267368i,-1316.32826123773-1980.3839553678i,-1056.89868397676+2130.16569163517i,9,9,9
25,2373.22694521449-149.781736267368i,-1316.32826123773-1980.3839553678i,-1056.89868397676+2130.16569163517i,9,9,9
26,2373.22694521449-149.781736267368i,-1316.32826123773-1980.3839553678i,-1056.89868397676+2130.16569163517i,9,9,9
27,2373.22694521449-149.781736267368i,-1316.32826123773-1980.3839553678i,-1056.89868397676+2130.16569163517i,9,9,9
28,2373.22694521449-149.781736267368i,-1316.32826123773-1980.3839553678i,-1056.89868397676+2130.16569163517i,9,9,9
29,2373.22694521449-149.781736267368i,-1316.32826123773-1980.3839553678i,-1056.89868397676+2130.16569163517i,9,9,9
30,2373.22694521449-149.781736267368i,-1316.32826123773-1980.3839553678i,-1056.89868397676+2130.16569163517i,9,9,9
31,2373.22694521449-149.781736267368i,-1316.32826123773-1980.3839553678i,-1056.89868397676+2130.16569163517i,9,9,9
32,2373.22694521449-149.781736267368i,-1316.32826123773-1980.3839553678i,-1056.89868397676+2130.16569163517i,9,9,9
33,2373.22694521449-149.781736267368i,-1316.32826123773-1980.3839553678i,-1056.89868397676+2130.16569163517i,9,9,9
34,2373.22694521449-149.781736267368i,-1316.32826123773-1980.3839553678i,-1056.89868397676+2130.16569163517i,9,9,9
35,2373.22694521449-149.781736267368i,-1316.32826123773-1980.3839553678i,-1056.89868397676+2130.16569163517i,9,9,9
36,2373.22694521449-149.781736267368i,-1316.32826123773-1980.3839553678i,-1056.89868397676+2130.16569163517i,9,9,9
