t_s,measured_voltage_A,measured_voltage_B,measured_voltage_C
0,2238.09308428849-145.241457753153i,-1244.82933424116-1865.62473815153i,-993.263750047332+2010.86619590468i
1,2238.09308428849-145.241457753153i,-1244.82933424116-1865.62473815153i,-993.263750047332+2010.86619590468i
2,2238.09308428849-145.241457753153i,-1244.82933424116-1865.62473815153i,-993.263750047332+2010.86619590468i
3,2238.09308428849-145.241457753153i,-1244.82933424116-1865.62473815153i,-993.263750047332+2010.86619590468i
4,2238.09308428849-145.241457753153i,-1244.82933424116-1865.62473815153i,-993.263750047332+2010.86619590468i
5,2238.09308428849-145.241457753153i,-1244.82933424116-1865.62473815153i,-993.263750047332+2010.86619590468i
6,2238.09308428849-145.241457753153i,-1244.82933424116-1865.62473815153i,-993.263750047332+2010.86619590468i
7,2238.09308428849-145.241457753153i,-1244.82933424116-1865.62473815153i,-993.263750047332+2010.86619590468i
8,2238.09308428849-145.241457753153i,-1244.82933424116-1865.62473815153i,-993.263750047332+2010.86619590468i
9,2238.09308428849-145.241457753153i,-1244.82933424116-1865.62473815153i,-993.263750047332+2010.86619590468i
10,2238.09308428849-145.241457753153i,-1244.82933424116-1865.62473815153i,-993.263750047332+2010.86619590468i
11,2238.09308428849-145.241457753153i,-1244.82933424116-1865.62473815153i,-993.263750047332+2010.86619590468i
12,2238.09308428849-145.241457753153i,-1244.82933424116-1865.62473815153i,-993.263750047332+2010.86619590468i
13,2238.09308428849-145.241457753153i,-1244.82933424116-1865.62473815153i,-993.263750047332+2010.86619590468i
14,2238.09308428849-145.241457753153i,-1244.82933424116-1865.62473815153i,-993.263750047332+2010.86619590468i
15,2238.09308428849-145.241457753153i,-1244.82933424116-1865.62473815153i,-993.263750047332+2010.86619590468i
16,2238.09308428849-145.241457753153i,-1244.82933424116-1865.62473815153i,-993.263750047332+2010.86619590468i
17,2238.09308428849-145.241457753153i,-1244.82933424116-1865.62473815153i,-993.263750047332+2010.86619590468i
18,2238.09308428849-145.241457753153i,-1244.82933424116-1865.62473815153i,-993.263750047332+2010.86619590468i
19,2238.09308428849-145.241457753153i,-1244.82933424116-1865.62473815153i,-993.263750047332+2010.86619590468i
20,2238.09308428849-145.241457753153i,-1244.82933424116-1865.62473815153i,-993.263750047332+2010.86619590468i
21,2238.09308428849-145.241457753153i,-1244.82933424116-1865.62473815153i,-993.263750047332+2010.86619590468i
22,2238.09308428849-145.241457753153i,-1244.82933424116-1865.62473815153i,-993.263750047332+2010.86619590468i
23,2238.09308428849-145.241457753153i,-1244.82933424116-1865.62473815153i,-993.263750047332+2010.86619590468i
24,2238.09308428849-145.241457753153i,-1244.82933424116-1865.62473815153i,-993.263750047332+2010.86619590468i
25,2238.09308428849-145.241457753153i,-1244.82933424116-1865.62473815153i,-993.263750047332+2010.86619590468i
26,2238.09308428849-145.241457753153i,-1244.82933424116-1865.62473815153i,-993.263750047332+2010.86619590468i
27,2238.09308428849-145.241457753153i,-1244.82933424116-1865.62473815153i,-993.263750047332+2010.86619590468i
28,2238.09308428849-145.241457753153i,-1244.82933424116-1865.62473815153i,-993.263750047332+2010.86619590468i
29,2238.09308428849-145.241457753153i,-1244.82933424116-1865.62473815153i,-993.263750047332+2010.86619590468i
30,2238.09308428849-145.241457753153i,-1244.82933424116-1865.62473815153i,-993.263750047332+2010.86619590468i
31,2238.09308428849-145.241457753153i,-1244.82933424116-1865.62473815153i,-993.263750047332+2010.86619590468i
32,2238.09308428849-145.241457753153i,-1244.82933424116-1865.62473815153i,-993.263750047332+2010.86619590468i
33,2238.09308428849-145.241457753153i,-1244.82933424116-1865.62473815153i,-993.263750047332+2010.86619590468i
34,2238.09308428849-145.241457753153i,-1244.82933424116-1865.62473815153i,-993.263750047332+2010.86619590468i
35,2238.09308428849-145.241457753153i,-1244.82933424116-1865.62473815153i,-993.263750047332+2010.86619590468i
36,2238.09308428849-145.241457753153i,-1244.82933424116-1865.62473815153i,-993.263750047332+2010.86619590468i
37,2238.09308428849-145.241457753153i,-1244.82933424116-1865.62473815153i,-993.263750047332+2010.86619590468i
38,2238.09308428849-145.241457753153i,-1244.82933424116-1865.62473815153i,-993.263750047332+2010.86619590468i
39,2238.09308428849-145.241457753153i,-1244.82933424116-1865.62473815153i,-993.263750047332+2010.86619590468i
40,2238.09308428849-145.241457753153i,-1244.82933424116-1865.62473815153i,-993.263750047332+2010.86619590468i
41,2238.09308428849-145.241457753153i,-1244.82933424116-1865.62473815153i,-993.263750047332+2010.86619590468i
42,2238.09308428849-145.241457753153i,-1244.82933424116-1865.62473815153i,-993.263750047332+2010.86619590468i
43,2238.09308428849-145.241457753153i,-1244.82933424116-1865.62473815153i,-993.263750047332+2010.86619590468i
44,2238.09308428849-145.241457753153i,-1244.82933424116-1865.62473815153i,-993.263750047332+2010.86619590468i
