Time_s,Phase_A,Phase_B,Phase_C
1,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
2,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
3,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
4,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
5,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
6,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
7,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
8,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
9,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
10,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
11,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
12,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
13,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
14,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
15,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
16,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
17,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
18,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
19,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
