t_s,measured_voltage_A,measured_voltage_B,measured_voltage_C,tap_A,tap_B,tap_C
1,2008.92673275184-1278.58044605017i,-2114.11339826725-1060.14357231136i,191.568835615899+2344.17476769972i,8,8,8
2,2008.92673275184-1278.58044605017i,-2114.11339826725-1060.14357231136i,191.568835615899+2344.17476769972i,8,8,8
3,2008.92673275184-1278.58044605017i,-2114.11339826725-1060.14357231136i,191.568835615899+2344.17476769972i,8,8,8
4,2008.92673275184-1278.58044605017i,-2114.11339826725-1060.14357231136i,191.568835615899+2344.17476769972i,8,8,8
5,2008.92673275184-1278.58044605017i,-2114.11339826725-1060.14357231136i,191.568835615899+2344.17476769972i,8,8,8
6,2008.92673275184-1278.58044605017i,-2114.11339826725-1060.14357231136i,191.568835615899+2344.17476769972i,8,8,8
7,2008.92673275184-1278.58044605017i,-2114.11339826725-1060.14357231136i,191.568835615899+2344.17476769972i,8,8,8
8,2008.92673275184-1278.58044605017i,-2114.11339826725-1060.14357231136i,191.568835615899+2344.17476769972i,8,8,8
9,2008.92673275184-1278.58044605017i,-2114.11339826725-1060.14357231136i,191.568835615899+2344.17476769972i,8,8,8
10,2008.92673275184-1278.58044605017i,-2114.11339826725-1060.14357231136i,191.568835615899+2344.17476769972i,8,8,8
11,2008.92673275184-1278.58044605017i,-2114.11339826725-1060.14357231136i,191.568835615899+2344.17476769972i,8,8,8
12,2008.92673275184-1278.58044605017i,-2114.11339826725-1060.14357231136i,191.568835615899+2344.17476769972i,8,8,8
13,2008.92673275184-1278.58044605017i,-2114.11339826725-1060.14357231136i,191.568835615899+2344.17476769972i,8,8,8
14,2008.92673275184-1278.58044605017i,-2114.11339826725-1060.14357231136i,191.568835615899+2344.17476769972i,8,8,8
15,2008.92673275184-1278.58044605017i,-2114.11339826725-1060.14357231136i,191.568835615899+2344.17476769972i,8,8,8
16,2008.92673275184-1278.58044605017i,-2114.11339826725-1060.14357231136i,191.568835615899+2344.17476769972i,8,8,8
17,2008.92673275184-1278.58044605017i,-2114.11339826725-1060.14357231136i,191.568835615899+2344.17476769972i,8,8,8
18,2008.92673275184-1278.58044605017i,-2114.11339826725-1060.14357231136i,191.568835615899+2344.17476769972i,8,8,8
19,2008.92673275184-1278.58044605017i,-2114.11339826725-1060.14357231136i,191.568835615899+2344.17476769972i,8,8,8
20,2008.92673275184-1278.58044605017i,-2114.11339826725-1060.14357231136i,191.568835615899+2344.17476769972i,8,8,8
21,2008.92673275184-1278.58044605017i,-2114.11339826725-1060.14357231136i,191.568835615899+2344.17476769972i,8,8,8
22,2008.92673275184-1278.58044605017i,-2114.11339826725-1060.14357231136i,191.568835615899+2344.17476769972i,8,8,8
23,2008.92673275184-1278.58044605017i,-2114.11339826725-1060.14357231136i,191.568835615899+2344.17476769972i,8,8,8
24,2008.92673275184-1278.58044605017i,-2114.11339826725-1060.14357231136i,191.568835615899+2344.17476769972i,8,8,8
25,2008.92673275184-1278.58044605017i,-2114.11339826725-1060.14357231136i,191.568835615899+2344.17476769972i,8,8,8
26,2008.92673275184-1278.58044605017i,-2114.11339826725-1060.14357231136i,191.568835615899+2344.17476769972i,8,8,8
27,2008.92673275184-1278.58044605017i,-2114.11339826725-1060.14357231136i,191.568835615899+2344.17476769972i,8,8,8
28,2008.92673275184-1278.58044605017i,-2114.11339826725-1060.14357231136i,191.568835615899+2344.17476769972i,8,8,8
29,2008.92673275184-1278.58044605017i,-2114.11339826725-1060.14357231136i,191.568835615899+2344.17476769972i,8,8,8
30,2008.92673275184-1278.58044605017i,-2114.11339826725-1060.14357231136i,191.568835615899+2344.17476769972i,8,8,8
31,2008.92673275184-1278.58044605017i,-2114.11339826725-1060.14357231136i,191.568835615899+2344.17476769972i,8,8,8
32,2008.92673275184-1278.58044605017i,-2114.11339826725-1060.14357231136i,191.568835615899+2344.17476769972i,8,8,8
33,2008.92673275184-1278.58044605017i,-2114.11339826725-1060.14357231136i,191.568835615899+2344.17476769972i,8,8,8
34,2008.92673275184-1278.58044605017i,-2114.11339826725-1060.14357231136i,191.568835615899+2344.17476769972i,8,8,8
35,2008.92673275184-1278.58044605017i,-2114.11339826725-1060.14357231136i,191.568835615899+2344.17476769972i,8,8,8
36,2008.92673275184-1278.58044605017i,-2114.11339826725-1060.14357231136i,191.568835615899+2344.17476769972i,8,8,8
37,2008.92673275184-1278.58044605017i,-2114.11339826725-1060.14357231136i,191.568835615899+2344.17476769972i,8,8,8
38,2008.92673275184-1278.58044605017i,-2114.11339826725-1060.14357231136i,191.568835615899+2344.17476769972i,8,8,8
39,2008.92673275184-1278.58044605017i,-2114.11339826725-1060.14357231136i,191.568835615899+2344.17476769972i,8,8,8
40,2008.92673275184-1278.58044605017i,-2114.11339826725-1060.14357231136i,191.568835615899+2344.17476769972i,8,8,8
41,2008.92673275184-1278.58044605017i,-2114.11339826725-1060.14357231136i,191.568835615899+2344.17476769972i,8,8,8
42,2008.92673275184-1278.58044605017i,-2114.11339826725-1060.14357231136i,191.568835615899+2344.17476769972i,8,8,8
43,2008.92673275184-1278.58044605017i,-2114.11339826725-1060.14357231136i,191.568835615899+2344.17476769972i,8,8,8
